,adview
272,2706.6458
273,2190.2576
274,2057.4983
275,2110.8896
276,255.60707
277,1449.9741
278,1349.5778
279,2453.8323
280,2470.331
281,2.6317916
282,1588.8586
283,2.6317916
284,827.8722
285,2.6317916
286,787.9026
287,2440.9285
288,907.9299
289,2486.9592
290,1794.8552
291,1691.7412
292,2.6317916
293,2325.023
294,1287.2943
295,728.71906
296,2.6317916
297,2044.9233
298,1533.1301
299,2601.0337
300,2.6317916
301,397.5565
302,362.51065
303,1166.3762
304,105.103226
305,2484.5544
306,2593.5417
307,2399.1934
308,2230.764
309,667.9633
310,571.896
311,2140.8896
312,2549.2456
313,2522.6494
314,2276.979
315,2399.3386
316,1259.6587
317,2300.0942
318,2.6317916
319,2.6317916
320,2426.0159
321,2391.081
322,1416.4614
323,1316.2893
324,2554.2703
325,2665.4639
326,1633.7256
327,1287.9148
328,571.68146
329,2487.1687
330,2.6317916
331,998.68146
332,2152.5234
333,1146.5599
334,1200.07
335,1622.3464
336,2453.6372
337,622.6485
338,1973.8569
339,338.41998
340,628.435
341,2.6317916
342,2353.2864
343,1334.8467
344,1228.457
345,1505.1182
346,917.0286
347,1628.4702
348,2409.1714
349,1798.8599
350,2607.399
351,1587.2393
352,2177.5579
353,2084.6433
354,1928.0596
355,1965.1097
356,2.6317916
357,1561.0822
358,1943.1907
359,1667.9122
360,2414.9927
361,2600.541
362,1453.52
363,2416.5173
364,2418.0012
365,2252.8733
366,446.44925
367,2059.5862
368,911.86017
369,1482.8254
370,2.6317916
371,2315.4336
372,2428.892
373,1119.0297
374,2398.5835
375,1180.2721
376,2402.4521
377,2.6317916
378,2374.4792
379,228.40749
380,2745.7883
381,353.08853
382,1744.5187
383,2579.2676
384,1501.3885
385,1695.4304
386,2562.9402
387,1986.4253
388,2616.9216
389,1615.8694
390,1439.8911
391,2045.1864
392,2578.829
393,1778.4307
394,2722.4985
395,403.0862
396,1066.0465
397,1258.9926
398,2.6317916
399,2452.5684
400,2406.2522
401,375.38208
402,2014.4744
403,763.261
404,2283.3496
405,1110.6135
406,1161.614
407,1979.1886
408,2523.7134
409,2.6317916
410,1267.1357
411,2338.454
412,2347.7744
413,2576.8938
414,1478.2386
415,2404.4949
416,998.5235
417,2245.9387
418,501.02032
419,1016.4073
420,2659.3032
421,1261.1794
422,1183.4767
423,2444.8044
424,452.2764
425,2050.2534
426,1702.4454
427,1077.2792
428,2011.4628
429,1196.0238
430,1786.3352
431,1216.4464
432,2568.1433
433,1207.4385
434,2025.4104
435,411.34225
436,677.83527
437,2505.672
438,1724.5382
439,1662.9578
440,2553.604
441,2497.6206
442,654.34106
443,2081.2021
444,2387.6099
445,2232.062
446,1993.0094
447,1270.8372
448,2246.2075
449,1492.8118
450,1731.1322
451,1655.4514
452,1319.9857
453,2269.421
454,1166.3091
455,1943.6344
456,2366.2183
457,945.9869
458,838.55634
459,2468.6243
460,2109.4082
461,809.1093
462,1681.6732
463,1952.3918
464,275.96298
465,953.49384
466,1434.8647
467,2315.4675
468,2559.7026
469,2.6317916
470,1792.8894
471,2469.6975
472,2486.4167
473,1046.6869
474,1105.1448
475,2201.6873
476,2364.505
477,407.29745
478,2089.42
479,2152.9316
480,1393.0366
481,2489.547
482,1764.3141
483,2255.2517
484,2424.5376
485,1129.8643
486,2807.4084
487,2419.0796
488,476.1299
489,2170.9277
490,2043.9648
491,1605.8474
492,1892.3491
493,3234.66
494,2427.286
495,1189.5017
496,163.083
497,1960.5854
498,2640.2334
499,2155.4312
500,898.8393
501,2591.7104
502,916.9294
503,1537.2854
504,453.37915
505,1232.8723
506,2170.644
507,2572.8496
508,2682.5815
509,772.61053
510,1324.6461
511,2483.2354
512,1431.3455
513,1372.0679
514,2402.7666
515,1666.1313
516,1480.3367
517,1554.6558
518,807.26636
519,512.4561
520,2473.744
521,1908.9587
522,2.6317916
523,2.6317916
524,2241.4512
525,1185.291
526,2232.9
527,234.88058
528,1007.8475
529,2019.6687
530,1940.7058
531,2302.8972
532,503.99954
533,1511.5148
534,2.6317916
535,1092.9631
536,2488.9646
537,2324.5212
538,1995.5994
539,1934.4229
540,1627.6781
541,1469.6862
542,924.0029
543,2160.3862
544,2572.1797
545,1391.2722
546,1051.3638
547,2385.142
548,2545.2183
549,2.6317916
550,1693.0488
551,2166.7397
552,2540.8848
553,1220.4545
554,1534.9084
555,2485.8584
556,1727.9941
557,1194.482
558,1834.8148
559,1952.9636
560,2408.4253
561,1508.179
562,2292.2446
563,2428.2427
564,2060.6162
565,1642.6658
566,2478.8486
567,2161.3027
568,2380.951
569,2480.499
570,2262.409
571,2501.4758
572,2683.155
573,2475.6006
574,2357.5464
575,1470.7983
576,1807.5342
577,2605.1455
578,2092.5874
579,1842.2834
580,1066.9946
581,685.25867
582,1629.3467
583,1143.7787
584,2204.7827
585,1367.6576
586,1017.4931
587,754.5387
588,2287.9858
589,1729.9106
590,1362.1581
591,2679.9272
592,2539.4844
593,971.59
594,2320.004
595,1917.7565
596,2.6317916
597,1092.2039
598,2.6317916
599,249.5752
600,2660.4746
601,2.6317916
602,745.7247
603,1862.8503
604,1472.6865
605,2561.2544
606,1318.8147
607,978.0486
608,2176.647
609,2590.5874
610,591.7934
611,1859.2625
612,1717.4606
613,2337.265
614,1445.7954
615,1379.334
616,878.5592
617,209.42253
618,2473.4426
619,2147.9731
620,2193.138
621,952.4056
622,1447.5105
623,535.5362
624,2567.558
625,2451.866
626,1092.3638
627,1718.1155
628,2067.331
629,1837.8586
630,1045.4927
631,673.34033
632,2394.0137
633,2391.5225
634,1291.5781
635,2367.7388
636,1446.172
637,1336.8768
638,2024.5452
639,2646.8665
640,2463.3872
641,2430.8506
642,1922.6763
643,1380.5334
644,2313.6167
645,2.6317916
646,2163.8315
647,1481.0162
648,1961.6794
649,311.29025
650,1061.6893
651,1925.0894
652,2284.0586
653,1622.5894
654,1877.7988
655,1968.5715
656,2.6317916
657,1045.7936
658,1463.1125
659,2453.762
660,1824.6748
661,1428.5549
662,1286.5712
663,560.76544
664,792.7817
665,2447.6655
666,1504.1113
667,1445.6038
668,2588.9844
669,2223.7437
670,2144.723
671,1105.4977
672,319.48404
673,687.27167
674,1510.1785
675,2488.2756
676,2426.9812
677,1740.8173
678,2493.0427
679,771.1938
680,1046.6094
681,2147.5535
682,1006.39935
683,2492.64
684,1055.66
685,1669.6409
686,696.425
687,2373.2883
688,1121.7833
689,2414.3853
690,1603.2778
691,2623.7778
692,1700.2251
693,2329.6567
694,2103.323
695,1387.3394
696,1152.4161
697,1191.2566
698,745.65784
699,333.37598
700,1627.0063
701,551.28143
702,2439.0154
703,1727.2744
704,1192.0024
705,1129.8607
706,2603.876
707,1853.3286
708,1742.3125
709,450.7815
710,2149.4487
711,2.6317916
712,2543.2905
713,707.316
714,2552.058
715,2606.39
716,1298.8933
717,2587.3635
718,2526.1123
719,2484.6104
720,2795.0132
721,1562.0143
722,1995.777
723,912.7017
724,2177.4558
725,872.0551
726,469.48245
727,1999.9744
728,1737.4639
729,991.84515
730,1804.6974
731,2238.189
732,2135.611
733,2333.6768
734,2422.7793
735,142.78285
736,376.80606
737,2447.014
738,2422.566
739,2339.9973
740,2051.805
741,689.25037
742,1459.1836
743,1756.5759
744,952.02496
745,2325.6594
746,1544.1328
747,2497.8203
748,2.6317916
749,1539.8325
750,1286.2432
751,2355.4573
752,754.91425
753,2.6317916
754,2.6317916
755,779.48315
756,2576.3364
757,2078.3674
758,2437.4944
759,2574.2188
760,1045.4365
761,2.6317916
762,2055.058
763,2421.0469
764,2160.9565
765,2077.8867
766,265.69608
767,2238.56
768,2332.01
769,2183.3342
770,897.3812
771,2436.7751
772,2363.974
773,2404.3281
774,2.6317916
775,1890.4226
776,1026.9579
777,738.2603
778,1167.3792
779,1333.9722
780,1603.4844
781,1994.5958
782,188.9003
783,2295.334
784,466.11887
785,2183.637
786,1808.8796
787,436.43103
788,2265.1697
789,1808.3091
790,2666.5142
791,351.4789
792,370.8879
793,2396.334
794,1150.5223
795,2627.2769
796,1682.191
797,686.21075
798,1479.6086
799,1041.455
800,2224.6992
801,2083.0115
802,1450.5043
803,1934.1538
804,1023.9531
805,2775.9478
806,1638.7532
807,826.4655
808,2370.8423
809,2465.6528
810,1352.5483
811,2548.9143
812,1768.9595
813,2446.3032
814,2258.5493
815,1616.478
816,2385.3716
817,2046.8379
818,2644.108
819,9.909061
820,1705.9523
821,937.1471
822,1251.789
823,2473.916
824,2286.2593
825,861.5284
826,170.94205
827,2111.4375
828,1496.7085
829,911.0257
830,2148.4885
831,1241.7144
832,1815.6553
833,951.23425
834,1298.9183
835,1880.0815
836,1173.589
837,825.3942
838,1331.6558
839,1014.8532
840,2229.7852
841,89.05812
842,2536.5552
843,1719.5375
844,2430.1475
845,2252.577
846,1327.8226
847,2717.857
848,536.4844
849,1645.0942
850,2000.844
851,1278.005
852,1880.6409
853,1155.0552
854,2.6317916
855,2943.7158
856,514.86163
857,1791.6454
858,1589.2075
859,2481.7212
860,2716.8464
861,1760.2137
862,1609.8894
863,1551.2198
864,546.6818
865,2267.9097
866,1151.1853
867,2356.6892
868,2323.3823
869,1482.3872
870,1397.8317
871,2031.7166
872,2.6317916
873,1319.1696
874,1480.5872
875,2398.5508
876,2301.7024
877,1038.7264
878,2033.0864
879,705.3107
880,2592.6218
881,934.98206
882,2482.3127
883,2072.1958
884,1851.4524
885,1948.5293
886,1532.3887
887,1414.7738
888,1226.0183
889,512.35974
890,1927.1084
891,406.17813
892,2351.9663
893,1966.1313
894,486.48227
895,1128.8945
896,2048.8594
897,1245.5868
898,927.25616
899,803.9857
900,2842.8516
901,2109.8284
902,2291.5205
903,1884.9939
904,2360.503
905,2065.0732
906,1815.6008
907,937.3369
908,1711.1123
909,362.87405
910,2426.7324
911,1358.4938
912,2437.204
913,2.6317916
914,1135.918
915,1836.68
916,2066.9326
917,1239.4146
918,2.6317916
919,2469.1167
920,1524.5479
921,2.6317916
922,1758.5916
923,2686.852
924,1788.6597
925,1950.1213
926,1947.2861
927,2701.6465
928,2294.871
929,1573.2812
930,2534.1292
931,526.58466
932,2155.986
933,2272.6487
934,1541.7031
935,2091.9207
936,672.91284
937,2.6317916
938,2601.545
939,1369.2983
940,1116.5813
941,2209.732
942,2320.9978
943,2296.4043
944,2622.0293
945,906.49524
946,1950.9221
947,2.6317916
948,1062.1858
949,1060.5107
950,2021.9564
951,1065.369
952,1637.0472
953,1250.9106
954,2.6317916
955,1092.5631
956,2732.8745
957,2549.028
958,1585.5688
959,712.2178
960,346.66592
961,636.4489
962,2.6317916
963,1966.2834
964,2223.2883
965,2627.917
966,2442.6025
967,1266.23
968,436.42294
969,1979.0974
970,1998.4885
971,1508.6721
972,1557.7136
973,1615.6187
974,2344.8174
975,1563.3186
976,268.70816
977,673.1037
978,2255.0444
979,447.20312
980,2346.1885
981,2773.451
982,1917.1353
983,3627.8135
984,1720.6135
985,1401.3756
986,2405.872
987,2107.8425
988,2463.5293
989,994.5605
990,2522.8584
991,2661.4043
992,2071.4941
993,1093.4375
994,2433.9414
995,1424.2612
996,1575.635
997,2285.321
998,2423.9055
999,2378.2437
1000,2431.644
1001,1017.24054
1002,1750.9954
1003,343.2132
1004,2614.2488
1005,1483.2812
1006,1127.6334
1007,394.3867
1008,829.5416
1009,2296.3025
1010,2411.031
1011,1412.313
1012,776.2614
1013,1449.4319
1014,2404.2122
1015,2018.4769
1016,2346.4038
1017,1102.7625
1018,706.7508
1019,2043.0321
1020,391.51816
1021,2474.4028
1022,948.288
1023,1642.9531
1024,2325.217
1025,934.93884
1026,2.6317916
1027,1512.8523
1028,788.50476
1029,2673.2654
1030,760.7183
1031,2292.794
1032,881.16437
1033,2599.0127
1034,977.6548
1035,554.5877
1036,2512.9453
1037,2333.9155
1038,2403.5015
1039,1301.2844
1040,675.9842
1041,1338.5383
1042,2032.8816
1043,2689.0007
1044,2465.1072
1045,2492.566
1046,2780.3003
1047,2546.0608
1048,1592.9307
1049,712.9116
1050,2049.3445
1051,1379.4268
1052,2209.0237
1053,372.8904
1054,1611.822
1055,843.14136
1056,2122.7063
1057,1503.9441
1058,2281.7913
1059,1777.2784
1060,2286.9863
1061,1792.769
1062,1674.9414
1063,1809.3706
1064,2741.3472
1065,977.253
1066,2539.4307
1067,1927.0894
1068,354.90817
1069,145.91231
1070,2525.955
1071,2655.445
1072,2287.226
1073,1090.9222
1074,2428.7676
1075,1043.0609
1076,2481.9912
1077,1139.3015
1078,1147.6545
1079,1226.4026
1080,2.6317916
1081,869.4409
1082,2271.1533
1083,2473.7146
1084,1558.9397
1085,1266.8323
1086,1823.3308
1087,75.78904
1088,1405.7412
1089,1455.5786
1090,2448.4082
1091,682.2354
1092,2039.7561
1093,2356.5251
1094,1429.9349
1095,354.69748
1096,2458.644
1097,1374.355
1098,921.4312
1099,1838.2656
1100,2482.233
1101,2520.8022
1102,913.2861
1103,2227.0327
1104,2567.8628
1105,1997.0026
1106,2020.6174
1107,2548.6543
1108,2049.687
1109,1533.9814
1110,700.65405
1111,1090.565
1112,2411.7341
1113,2500.2793
1114,1447.2285
1115,552.88043
1116,2450.6958
1117,690.31946
1118,2421.5645
1119,2583.5994
1120,2230.6785
1121,2383.1533
1122,1595.1729
1123,968.7126
1124,2463.0127
1125,2096.4392
1126,1221.8492
1127,2604.59
1128,1118.7023
1129,1629.5315
1130,2378.2673
1131,2391.5315
1132,1077.5211
1133,2492.7898
1134,704.947
1135,2230.6558
1136,919.7561
1137,2017.7239
1138,1954.846
1139,2470.3613
1140,1307.5216
1141,2003.2561
1142,366.6028
1143,808.4218
1144,1453.759
1145,2069.8594
1146,1944.7671
1147,937.2913
1148,1239.6382
1149,2685.4155
1150,2631.7803
1151,1678.7358
1152,1521.7487
1153,2519.6572
1154,1147.4911
1155,2160.6748
1156,784.9814
1157,2647.3408
1158,697.71326
1159,355.2385
1160,2372.8623
1161,2014.0646
1162,2.6317916
1163,1460.4397
1164,839.3028
1165,777.9444
1166,2216.0757
1167,2273.5952
1168,2224.5789
1169,2336.4238
1170,2106.8274
1171,1003.9108
1172,862.43774
1173,2.6317916
1174,1859.3696
1175,2394.8745
1176,2380.8743
1177,1209.938
1178,2126.1096
1179,441.7388
1180,2148.3755
1181,2671.099
1182,2444.6602
1183,1131.3911
1184,1630.7921
1185,1908.2188
1186,1326.1768
1187,2619.3447
1188,2143.5361
1189,2586.3103
1190,1762.6163
1191,1424.0958
1192,1476.6499
1193,1359.2587
1194,2271.3718
1195,1292.8243
1196,1047.5503
1197,464.2618
1198,2153.1255
1199,2304.1792
1200,1808.7166
1201,1241.8547
1202,2393.4536
1203,1482.6024
1204,9.638977
1205,1040.4259
1206,2403.104
1207,2649.8994
1208,2391.1304
1209,1543.5322
1210,1868.846
1211,2340.74
1212,1054.2833
1213,2562.4531
1214,1556.3359
1215,2181.5742
1216,751.8117
1217,1336.0012
1218,1891.8406
1219,1561.0315
1220,2136.3198
1221,767.58295
1222,499.59103
1223,1820.5544
1224,2452.0488
1225,2544.3066
1226,2001.0939
1227,678.1703
1228,1278.1882
1229,2185.2163
1230,1779.3345
1231,2427.5908
1232,390.9721
1233,2731.0493
1234,1283.541
1235,395.13724
1236,2048.8154
1237,1069.593
1238,2736.2534
1239,638.4772
1240,1583.7012
1241,2302.975
1242,2127.8716
1243,1748.2736
1244,1583.8882
1245,2158.0288
1246,1513.9315
1247,1115.5996
1248,191.22691
1249,2497.1714
1250,2476.639
1251,2531.928
1252,2335.816
1253,2429.3535
1254,1181.7914
1255,1317.2366
1256,890.3044
1257,1178.613
1258,2259.1875
1259,437.65775
1260,1487.471
1261,1342.6737
1262,2345.4937
1263,2313.545
1264,829.0325
1265,2.6317916
1266,1143.86
1267,1521.457
1268,2277.4958
1269,1876.1445
1270,2530.7756
1271,1235.9823
1272,2050.725
1273,1034.6434
1274,1344.7073
1275,1292.1223
1276,1486.3013
1277,1233.1753
1278,2727.7302
1279,953.7153
1280,607.6253
1281,692.8028
1282,2624.98
1283,1219.046
1284,1329.1031
1285,1710.5095
1286,1772.6273
1287,2429.484
1288,2270.9756
1289,559.62213
1290,2690.227
1291,1991.4485
1292,1619.2968
1293,2245.2036
1294,2107.6233
1295,1545.1239
1296,1656.1108
1297,2608.5986
1298,1661.2667
1299,2435.5198
1300,1113.1036
1301,357.6758
1302,1832.4575
1303,2281.9624
1304,2131.1628
1305,2340.6887
1306,1228.3561
1307,357.49356
1308,603.1403
1309,1299.1079
1310,1283.6368
1311,2339.3054
1312,810.38525
1313,2300.7104
1314,2250.9658
1315,2183.255
1316,1167.3636
1317,2458.9036
1318,1607.5369
1319,1016.6026
1320,2.6317916
1321,796.4388
1322,1991.289
1323,944.0292
1324,2412.692
1325,2.6317916
1326,2547.9648
1327,1115.1334
1328,2119.3833
1329,1824.1704
1330,682.47955
1331,1698.8927
1332,1148.9146
1333,276.77737
1334,281.40747
1335,2633.485
1336,2588.0337
1337,1568.6342
1338,1726.2935
1339,1329.6412
1340,2059.6187
1341,926.3275
1342,2400.713
1343,2659.0408
1344,1238.6516
1345,383.0936
1346,1346.3171
1347,2565.5132
1348,2719.0928
1349,2102.834
1350,2666.9575
1351,2.6317916
1352,2532.993
1353,1514.4467
1354,1275.9647
1355,2344.7458
1356,1329.1716
1357,679.04114
1358,2383.5667
1359,2448.8142
1360,2382.7776
1361,1495.7076
1362,653.7531
1363,1069.5825
1364,2.6317916
1365,678.7527
1366,1974.8711
1367,689.4518
1368,1457.2056
1369,2136.4907
1370,2307.6587
1371,1581.8191
1372,1128.5361
1373,2.6317916
1374,2159.1777
1375,2219.8774
1376,1425.8531
1377,2.6317916
1378,1673.4567
1379,1620.6953
1380,2019.2406
1381,1931.0137
1382,864.1605
1383,1696.7039
1384,387.6138
1385,2321.6228
1386,2425.6904
1387,694.10297
1388,2122.5693
1389,2070.2046
1390,1124.6625
1391,2471.3296
1392,2453.7827
1393,2465.2783
1394,1501.5527
1395,2816.739
1396,398.76736
1397,2.6317916
1398,576.771
1399,2262.06
1400,142.75195
1401,2140.1245
1402,901.6722
1403,1046.3677
1404,2346.7832
1405,60.87541
1406,1939.2313
1407,2584.8025
1408,1094.6621
1409,2651.9622
1410,2637.5022
1411,553.80457
1412,1850.2437
1413,1187.3652
1414,1096.9967
1415,770.8875
1416,2010.4646
1417,2535.1924
1418,2495.5105
1419,1216.0453
1420,1282.9883
1421,2653.0195
1422,2215.2227
1423,2557.2778
1424,1401.8263
1425,1816.8503
1426,873.0068
1427,2160.3745
1428,2615.9546
1429,2887.7344
1430,1137.7515
1431,12.602198
1432,1729.2654
1433,916.60394
1434,260.46622
1435,974.9036
1436,1234.6946
1437,2033.8604
1438,923.0272
1439,2524.5168
1440,1511.3796
1441,2224.209
1442,1189.7979
1443,171.76982
1444,85.877716
1445,2429.8374
1446,2403.358
1447,1208.819
1448,1484.2063
1449,977.57526
1450,496.1205
1451,2011.2703
1452,2511.9875
1453,2.6317916
1454,555.2517
1455,458.1278
1456,2242.4353
1457,765.9423
1458,676.2635
1459,2566.018
1460,1253.2928
1461,712.87524
1462,2270.383
1463,1369.3582
1464,1703.0166
1465,1780.7388
1466,2794.1348
1467,2525.4448
1468,1616.7048
1469,1711.0505
1470,1346.4038
1471,1231.1626
1472,2433.2312
1473,1367.5673
1474,1669.6527
1475,1336.6997
1476,947.7424
1477,3391.1099
1478,2092.4197
1479,2084.621
1480,1568.2631
1481,1704.7798
1482,823.4671
1483,2448.852
1484,1227.9934
1485,763.3425
1486,674.2592
1487,2492.49
1488,730.55695
1489,55.449547
1490,2094.1885
1491,2508.4788
1492,1792.636
1493,2250.6677
1494,1703.886
1495,2347.3718
1496,1132.7894
1497,3224.2183
1498,1662.7
1499,2504.3071
1500,1091.4705
1501,333.66437
1502,2563.8777
1503,2303.503
1504,1736.7017
1505,1096.2021
1506,1652.5652
1507,2545.6494
1508,2379.5913
1509,2292.2742
1510,2480.2139
1511,1575.0647
1512,2284.7769
1513,2459.2544
1514,1682.0825
1515,1033.917
1516,2443.5903
1517,1740.5187
1518,766.252
1519,1724.1495
1520,2589.7502
1521,2388.623
1522,1313.5522
1523,1623.2712
1524,2539.529
1525,2518.9785
1526,2418.8965
1527,2298.5361
1528,2001.6516
1529,790.4404
1530,2121.909
1531,2350.7256
1532,1391.5397
1533,2352.6572
1534,459.74844
1535,2383.1716
1536,2148.573
1537,1973.5573
1538,1792.3533
1539,1491.5234
1540,2060.734
1541,1340.3416
1542,2339.5444
1543,2291.0808
1544,2453.44
1545,1985.7903
1546,757.2208
1547,2637.3535
1548,2455.7297
1549,1248.627
1550,875.9871
1551,1243.6031
1552,2408.0251
1553,2545.512
1554,1920.5365
1555,63.47901
1556,755.28436
1557,2.6317916
1558,1056.1383
1559,2619.63
1560,2236.1714
1561,1773.1836
1562,321.31375
1563,2174.2527
1564,562.0816
1565,2417.5674
1566,763.9643
1567,2.6317916
1568,2317.762
1569,1330.731
1570,1794.4144
1571,836.2746
1572,1072.6282
1573,1003.18365
1574,2135.7366
1575,389.97977
1576,1654.1914
1577,2211.0278
1578,2215.394
1579,2144.2356
1580,1674.0571
1581,1820.0605
1582,2835.9758
1583,1442.0957
1584,2174.6406
1585,1545.1589
1586,2246.725
1587,2396.375
1588,2602.4736
1589,2340.5806
1590,2086.768
1591,1865.134
1592,2116.1633
1593,922.62225
1594,2578.6504
1595,2290.0815
1596,370.08487
1597,1338.7285
1598,1741.5618
1599,1967.6941
1600,2.6317916
1601,1425.5598
1602,2440.6306
1603,1246.3279
1604,2329.6736
1605,1150.9089
1606,1890.105
1607,556.1328
1608,1989.3865
1609,2599.1064
1610,1721.1619
1611,2.6317916
1612,1964.9478
1613,1384.9524
1614,940.63385
1615,734.49207
1616,507.66708
1617,801.451
1618,1134.9431
1619,1936.2839
1620,676.7538
1621,1533.916
1622,714.7786
1623,570.3554
1624,2758.022
1625,308.7723
1626,2364.9272
1627,419.7314
1628,2011.9364
1629,2506.9805
1630,1808.1782
1631,1922.8864
1632,985.66754
1633,1407.6769
1634,1721.5513
1635,2152.6235
1636,1926.9026
1637,2459.984
1638,938.29193
1639,1225.5565
1640,2083.5242
1641,1283.1782
1642,2349.1465
1643,2.6317916
1644,2462.653
1645,858.6186
1646,65.74702
1647,2.6317916
1648,2159.6042
1649,802.1938
1650,1356.976
1651,346.32394
1652,1563.0714
1653,731.1808
1654,1365.0016
1655,1406.2611
1656,2340.5808
1657,209.62283
1658,2547.8894
1659,2036.7037
1660,480.775
1661,1598.6302
1662,2229.9014
1663,2439.6343
1664,2.6317916
1665,1883.9504
1666,364.9198
1667,1389.2875
1668,1071.3005
1669,2291.6592
1670,1134.7268
1671,863.6917
1672,2431.4324
1673,2493.573
1674,1805.5364
1675,929.78644
1676,637.3759
1677,2369.2642
1678,1347.8049
1679,2532.7334
1680,552.7263
1681,1878.8224
1682,635.9138
1683,691.60803
1684,716.08575
1685,2586.0693
1686,2612.289
1687,2139.2393
1688,2404.3235
1689,2254.1309
1690,896.2648
1691,2272.13
1692,723.7384
1693,2849.2827
1694,1117.7633
1695,2171.2866
1696,1398.4895
1697,1278.1208
1698,2149.0845
1699,1341.2916
1700,1425.0652
1701,2418.348
1702,309.72964
1703,1974.9448
1704,1134.4436
1705,2470.6426
1706,2729.4307
1707,558.1763
1708,749.8261
1709,2493.3882
1710,708.0798
1711,2128.4824
1712,2525.3853
1713,1858.6931
1714,1179.3369
1715,458.9651
1716,847.585
1717,1500.1099
1718,2500.4773
1719,2738.7344
1720,1524.3147
1721,2139.65
1722,1248.677
1723,1412.1353
1724,2404.6626
1725,2365.226
1726,877.8441
1727,2246.2925
1728,2170.5437
